# ----------------------------------------
# All Web Site Data
# Overview
# 20181001-20190429
# ----------------------------------------

Device Category,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
11/15/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/15/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
11/16/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
11/16/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/16/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
11/17/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
11/17/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/17/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
11/18/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$167.88,1.54%
11/18/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/18/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$167.88,3.85%
11/19/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$722.40,4.04%
11/19/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$202.20,2.94%
11/19/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$520.20,6.45%
11/20/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
11/20/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/20/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
11/21/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
11/21/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/21/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
11/22/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$190.14,1.47%
11/22/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$190.14,2.04%
11/22/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
11/23/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$331.52,1.92%
11/23/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/23/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$331.52,7.69%
11/24/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
11/24/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/24/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
11/25/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
11/25/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/25/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
11/26/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$167.88,1.82%
11/26/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$108.52,1.43%
